adapter,step,single_loss,multi_loss,abs_diff,tokens
a,49,1.8207681967780507,1.8116024259863228,0.009165770791727867,464
a,50,1.7982232938421534,1.782690313268215,0.01553298057393837,470
a,51,1.8257713180010011,1.8133284559055252,0.01244286209547596,588
a,52,1.753295364884028,1.7135617895798536,0.03973357530417432,454
a,53,1.8568523299126398,1.861845856621152,0.004993526708512164,378
a,54,1.916631348444068,1.920958756778551,0.004327408334483085,575
a,55,1.948944121976442,1.9406677570021102,0.008276364974331818,474
a,56,1.9599571495470793,1.9544693370487378,0.0054878124983415155,575
a,57,1.8421928868178399,1.8346279198604245,0.0075649669574153755,496
a,58,1.8282422173002273,1.8130404907286901,0.015201726571537177,569
a,59,1.9656104930611544,1.941252507596669,0.024357985464485532,387
a,60,1.949565386725315,1.9392679843078193,0.010297402417495771,509
a,61,1.9410598242776633,1.9387325551618015,0.0023272691158617853,507
a,62,2.004231559834357,1.989626685631671,0.014604874202685858,542
a,63,2.043910046418508,2.042668170245119,0.0012418761733892225,516
a,64,1.8135334707441784,1.8073567733310518,0.006176697413126542,525
a,65,1.9791445238750522,1.963292453970228,0.01585206990482435,476
a,66,1.7954630419893085,1.7917602532314805,0.003702788757828035,530
a,67,1.6335209615937956,1.658605274263319,0.02508431266952349,455
a,68,1.908196541509123,1.9042051175241486,0.00399142398497454,623
a,69,1.8282976409278686,1.7870376326821067,0.041260008245761925,539
a,70,1.9022420733329282,1.9077793977346764,0.005537324401748256,498
a,71,1.8354664783804648,1.852524199312733,0.017057720932268206,496
a,72,1.7998003459402494,1.7836484227861678,0.01615192315408165,560
a,73,1.7223791998558329,1.712041964539808,0.010337235316024929,538
a,74,1.909447253501085,1.9151764078164282,0.005729154315343266,397
a,75,1.7868456498996632,1.7813619239910228,0.0054837259086404355,555
a,76,1.923680021488561,1.9202315632220919,0.003448458266469112,565
a,77,1.5681200534969135,1.5672669188267943,0.000853134670119271,552
a,78,1.7987666731295378,1.7803624764732693,0.018404196656268468,460
a,79,1.855218299703619,1.8452966676379408,0.00992163206567831,453
a,80,1.7844078286454594,1.7620045242124591,0.022403304433000315,464
a,81,1.7552971667524753,1.761126245597715,0.005829078845239755,491
a,82,1.820494686448297,1.827443567357322,0.0069488809090250125,516
a,83,1.7978259259217921,1.7855824444572257,0.012243481464566441,634
a,84,1.968208774208502,1.9497898239235691,0.01841895028493279,458
a,85,1.897223292986552,1.8904395094624271,0.006783783524124898,675
a,86,1.9705430656950051,1.9565656561717808,0.013977409523224349,535
a,87,2.072924716132028,2.0778431996055273,0.004918483473499435,483
a,88,1.6329701997414985,1.6257819885557347,0.007188211185763738,396
a,89,1.8922765158643626,1.9084783635958276,0.016201847731464936,495
a,90,1.7765918057926453,1.7739177178282763,0.0026740879643689652,362
a,91,1.8760035037994385,1.8523394806453815,0.023664023154057023,416
a,92,1.8222455157000577,1.8355773170333838,0.013331801333326121,611
a,93,1.729560137511733,1.7363128886671964,0.006752751155463255,499
a,94,1.9616847261930572,1.9588184591879927,0.002866267005064538,517
a,95,1.8562694561143636,1.8688136218530447,0.012544165738681112,494
a,96,1.7700426556169986,1.7674378616114457,0.002604794005552913,480
a,97,1.693027278547513,1.7100441518811362,0.01701687333362334,549
